folder,nominal_state_name,launcher,laser_power,phase_angle,bloch_coords_T_x,bloch_coords_T_y,bloch_coords_R_x,bloch_coords_R_y,phase_angle_degrees,intended_phase_angle,phase_angle_difference
../data/2025-05-27--15h-48m--2025-05-27--15h-48m_1qb_tomo_sagnac2_40mW_B_nominally_H,H,B,40mW,-2.092643797946751,-2.3047702517577866,-2.788460561680778,-2.9492751239156587,-5.129017556532815,240.10034235342374,,
../data/2025-05-27--15h-48m--2025-05-27--15h-49m_1qb_tomo_sagnac2_40mW_B_nominally_D,D,B,40mW,0.45721436318289765,56.7173929698474,-3.8078950634391777,49.327267713204364,24.26823221138794,26.19645334314165,0.0,26.19645334314165
../data/2025-05-27--15h-49m--2025-05-27--15h-50m_1qb_tomo_sagnac2_40mW_B_nominally_V,V,B,40mW,1.0485407894357555,-0.3658734308989137,-2.084308715064967,2.9564459830616334,5.136636550458578,60.076961881984325,,
../data/2025-05-27--15h-50m--2025-05-27--15h-50m_1qb_tomo_sagnac2_40mW_B_nominally_R,R,B,40mW,2.092512434134375,-2.5456193861039096,56.70638380137799,-28.154823065238272,48.978302694725556,119.89213105454634,90.0,29.89213105454634
../data/2025-05-27--15h-51m--2025-05-27--15h-51m_1qb_tomo_sagnac2_40mW_B_nominally_A,A,B,40mW,-2.652895146319934,-57.03256006963207,-2.1451286538884893,-50.32535135072748,-26.758807175923927,208.0003046251268,180.0,28.0003046251268
../data/2025-05-27--15h-51m--2025-05-27--15h-52m_1qb_tomo_sagnac2_40mW_B_nominally_L,L,B,40mW,-1.104910248445952,-4.221343897231454,-56.995584405722084,25.254082853466784,-50.226772564869385,296.6933060232957,270.0,26.69330602329569
../data/2025-05-27--15h-53m--2025-05-27--15h-53m_1qb_tomo_sagnac2_40mW_A_nominally_H,H,A,40mW,-2.6946507159670907,-2.2716845659118543,-1.0887933780611236,-3.1765046933137704,-3.290511294512847,205.60788671318016,,
../data/2025-05-27--15h-53m--2025-05-27--15h-54m_1qb_tomo_sagnac2_40mW_A_nominally_D,D,A,40mW,-0.4817650500790857,50.41994833965661,-26.362390231981223,56.0625875954347,2.0331479227556826,332.39689591355966,0.0,332.39689591355966
../data/2025-05-27--15h-54m--2025-05-27--15h-55m_1qb_tomo_sagnac2_40mW_A_nominally_V,V,A,40mW,1.9635385195143455,-0.34753034060977894,0.8389101661403641,4.09656406004764,8.078423463952355,112.50247007953803,,
../data/2025-05-27--15h-55m--2025-05-27--15h-55m_1qb_tomo_sagnac2_40mW_A_nominally_R,R,A,40mW,1.1413570153978705,23.119252794507737,50.485047502481024,-1.0339088253200621,55.82545343188001,65.3949398999461,90.0,335.3949398999461
../data/2025-05-27--15h-56m--2025-05-27--15h-56m_1qb_tomo_sagnac2_40mW_A_nominally_A,A,A,40mW,2.6700241293141103,-50.47380021526907,25.73864611369474,-56.53364482688724,1.270778582528912,152.98111380779088,180.0,332.98111380779085
../data/2025-05-27--15h-56m--2025-05-27--15h-57m_1qb_tomo_sagnac2_40mW_A_nominally_L,L,A,40mW,-2.089479117592473,-28.398892254850285,-49.75155868410181,-0.5186943830617361,-56.299281692034725,240.28166518123186,270.0,330.28166518123186
