angle,singles,coincidences
0.0,5128.0,0
9.0,1135.0,0
18.0,1650.0,0
27.0,6301.0,0
36.0,13366.0,0
45.0,19909.0,2
54.0,24062.0,7
63.0,23536.0,9
72.0,18983.0,4
81.0,12019.0,1
90.0,5151.0,1
99.0,1158.0,0
108.0,1562.0,0
117.0,6124.0,0
126.0,13450.0,4
135.0,20158.0,8
144.0,24355.0,9
153.0,23759.0,8
162.0,19135.0,9
171.0,11834.0,2
180.0,5232.0,1
7.6744725951529205,1484.0,0
8.67447259515292,1249.0,0
9.67447259515292,1044.0,0
10.67447259515292,908.0,0
11.67447259515292,819.0,0
12.67447259515292,783.0,0
13.67447259515292,793.0,0
14.67447259515292,904.0,0
15.67447259515292,1036.0,0
16.67447259515292,1218.0,0
17.67447259515292,1472.0,0
52.67447259515292,23830.0,15
54.341139261819585,23517.0,14
56.007805928486256,24205.0,8
57.67447259515292,24206.0,8
59.341139261819585,24083.0,13
61.007805928486256,23795.0,10
62.67447259515292,23287.0,6
30.17447259515292,8707.0,3
32.67447259515292,10299.0,2
35.17447259515292,12526.0,7
37.67447259515292,14599.0,4
40.17447259515292,16722.0,11
