angle,singles,coincidences
0.0,301.0,0
9.0,1174.0,0
18.0,6047.0,1
27.0,12973.0,11
36.0,19454.0,12
45.0,23293.0,14
54.0,22399.0,10
63.0,17478.0,6
72.0,10497.0,3
81.0,3928.0,0
90.0,303.0,0
99.0,1027.0,0
108.0,5844.0,1
117.0,12823.0,6
126.0,19221.0,5
135.0,23355.0,9
144.0,22097.0,9
153.0,17539.0,10
162.0,10535.0,6
171.0,3899.0,0
180.0,326.0,0
-2.0005953776176213,84.0,0
-1.0005953776176213,527.0,0
-0.0005953776176212955,270.0,0
0.9994046223823787,166.0,0
1.9994046223823787,93.0,0
2.9994046223823787,60.0,0
3.9994046223823787,86.0,0
4.999404622382379,155.0,0
5.999404622382379,300.0,0
6.999404622382379,466.0,0
7.999404622382379,777.0,0
42.99940462238238,22595.0,8
44.66607128904904,23255.0,18
46.332737955715714,23320.0,13
47.99940462238238,23694.0,19
49.66607128904904,23542.0,20
51.332737955715714,23077.0,10
52.99940462238238,22957.0,11
20.49940462238238,7757.0,1
22.99940462238238,9898.0,4
25.49940462238238,11575.0,3
27.99940462238238,13693.0,6
30.49940462238238,15394.0,5
