angle,singles,coincidences
0.0,1282.0,12
9.0,2724.0,345
18.0,7609.0,1341
27.0,13603.0,2611
36.0,18449.0,3566
45.0,20690.0,4235
54.0,19639.0,3921
63.0,15452.0,2949
72.0,9349.0,1580
81.0,4048.0,533
90.0,1310.0,21
99.0,2728.0,287
108.0,7464.0,1281
117.0,13446.0,2520
126.0,18430.0,3646
135.0,20443.0,4299
144.0,19447.0,3850
153.0,15141.0,2921
162.0,9152.0,1526
171.0,4002.0,556
180.0,1221.0,18
-3.6055252795378294,1459.0,32
-2.6055252795378294,1557.0,78
-1.6055252795378294,1411.0,58
-0.6055252795378294,1265.0,24
0.3944747204621706,1174.0,5
1.3944747204621706,1149.0,5
2.3944747204621706,1283.0,7
3.3944747204621706,1304.0,24
4.394474720462171,1457.0,52
5.394474720462171,1534.0,83
6.394474720462171,1835.0,136
41.39447472046217,20304.0,4164
43.061141387128835,20521.0,4146
44.727808053795506,20537.0,4159
46.39447472046217,20617.0,4154
48.061141387128835,20759.0,4264
49.727808053795506,20401.0,4137
51.39447472046217,20347.0,4183
