angle,singles,coincidences
0.0,6893.0,1375
22.5,19920.0,4222
45.0,15039.0,3195
67.5,1084.0,180
90.0,6917.0,1320
68.2527747872178,952.0,137
69.36388589832892,697.0,103
70.47499700944003,436.0,55
71.58610812055113,295.0,23
72.69721923166225,231.0,2
73.80833034277336,198.0,2
74.91944145388447,264.0,8
76.03055256499559,403.0,41
77.14166367610669,575.0,72
78.2527747872178,870.0,118
23.252774787217803,20072.0,4318
25.252774787217803,20416.0,4423
27.252774787217803,20819.0,4563
29.252774787217803,20577.0,4303
31.252774787217803,20305.0,4341
33.2527747872178,19886.0,4268
