angle,singles,coincidences
0.0,11100.0,954
9.0,11111.0,1019
18.0,11162.0,1249
27.0,11104.0,1450
36.0,11189.0,1664
45.0,11270.0,1796
54.0,11047.0,1762
63.0,10927.0,1518
72.0,11056.0,1209
81.0,10907.0,962
90.0,11109.0,950
99.0,11023.0,983
108.0,11243.0,1250
117.0,10992.0,1507
126.0,11137.0,1687
135.0,11015.0,1815
144.0,11115.0,1664
153.0,11140.0,1487
162.0,11279.0,1271
171.0,11204.0,971
180.0,11148.0,913
65.94191098293985,11252.0,1483
66.94191098293985,11006.0,1330
67.94191098293985,11208.0,1391
68.94191098293985,10956.0,1309
69.94191098293985,11179.0,1305
70.94191098293985,11262.0,1251
71.94191098293985,11319.0,1232
72.94191098293985,11093.0,1217
73.94191098293985,11264.0,1244
74.94191098293985,11358.0,1177
75.94191098293985,11123.0,1121
20.941910982939838,11228.0,1310
22.608577649606506,10923.0,1263
24.27524431627317,11249.0,1440
25.941910982939838,11270.0,1495
27.608577649606506,10991.0,1511
29.275244316273174,11206.0,1600
30.941910982939838,11263.0,1606
43.441910982939845,11391.0,1835
45.941910982939845,11430.0,1839
48.441910982939845,11350.0,1810
50.941910982939845,11139.0,1834
53.441910982939845,11094.0,1784
