angle,singles,coincidences
0.0,10345.0,1074
9.0,10502.0,1335
18.0,10335.0,1638
27.0,10194.0,1799
36.0,10207.0,1841
45.0,10280.0,1640
54.0,10314.0,1336
63.0,10338.0,1111
72.0,10366.0,979
81.0,10311.0,893
90.0,10171.0,1051
99.0,10233.0,1308
108.0,10250.0,1570
117.0,10211.0,1797
126.0,10285.0,1749
135.0,10246.0,1585
144.0,10083.0,1331
153.0,10243.0,1091
162.0,10408.0,847
171.0,10376.0,891
180.0,10178.0,1022
71.92739610060434,10366.0,885
72.92739610060434,9996.0,895
73.92739610060434,10186.0,898
74.92739610060434,10202.0,915
75.92739610060434,10063.0,874
76.92739610060434,10198.0,873
77.92739610060434,10154.0,882
78.92739610060434,10047.0,877
79.92739610060434,10141.0,922
80.92739610060434,10305.0,914
81.92739610060434,10205.0,876
26.927396100604334,10423.0,1797
28.594062767271,10339.0,1766
30.260729433937666,10242.0,1748
31.927396100604334,10037.0,1847
33.594062767271,9984.0,1795
35.26072943393767,10130.0,1769
36.927396100604334,10340.0,1709
49.42739610060434,10484.0,1535
53.099263069604696,10285.0,1361
56.77113003860505,10158.0,1263
60.442997007605406,10258.0,1143
64.11486397660576,10144.0,1035
