angle,singles,coincidences
0.0,19178.0,4025
9.0,20027.0,4174
18.0,19222.0,4138
27.0,17236.0,3552
36.0,14225.0,2864
45.0,12157.0,2429
54.0,10892.0,2160
63.0,11662.0,2255
72.0,14287.0,2897
81.0,17113.0,3549
90.0,19004.0,3908
99.0,20014.0,4216
108.0,19153.0,4064
117.0,16890.0,3356
126.0,14274.0,2868
135.0,11844.0,2331
144.0,10650.0,2124
153.0,11594.0,2262
162.0,13836.0,2855
171.0,16803.0,3446
180.0,18944.0,3887
49.37929825942027,11490.0,2247
50.37929825942027,11368.0,2223
51.37929825942027,11070.0,2235
52.37929825942027,11175.0,2208
53.37929825942027,10963.0,2226
54.37929825942027,10914.0,2144
55.37929825942027,11092.0,2177
56.37929825942027,11280.0,2210
57.37929825942027,11158.0,2189
58.37929825942027,11257.0,2193
59.37929825942027,11217.0,2218
94.37929825942027,19676.0,4188
96.04596492608694,19891.0,4114
97.7126315927536,19652.0,4135
99.37929825942027,19692.0,4174
101.04596492608694,19922.0,4143
102.7126315927536,19490.0,4108
104.37929825942027,19674.0,4066
